Gig ID,Title,Description,Location,Pay Rate,Posted By,Available
"a by aihanif at KKPerwira on 2025-01-01 10:56:24","a","b","KKPerwira",20.00,"aihanif",true
"Pelari by aihanif at KKDK on 2025-01-01 21:19:52","Pelari","Berlari","KKDK",15.00,"aihanif",true
"Posmen by aihanif at KK on 2025-01-01 21:29:36","Posmen","Mengeposmen","KK",13.00,"aihanif",true
"Ikan by aihanif at kk on 2025-01-01 21:35:33","Ikan","Memancing","kk",11.00,"aihanif",true
"Main ML by aihanif at KKP on 2025-01-02 01:23:12","Main ML","Bermain ml","KKP",21.00,"aihanif",true
"Runner by aihanif at KKP on 2025-01-02 02:44:51","Runner","Running","KKP",2.00,"aihanif",true
"Swim by ainif at KKP on 2025-01-02 02:57:18","Swim","Swimming","KKP",11.00,"ainif",true
"Cook by ainif at KKDK on 2025-01-02 03:08:20","Cook","Cooking","KKDK",20.00,"ainif",true
"Menjual Ikan by User at Perwira on 2025-01-05 17:09:08","Menjual Ikan","Penjual Ikan di Pasar","Perwira",20.00,"User",true
"Perwira Parcel Runner by aihanif at Kolej Kediaman Perwira on 2025-01-05 17:15:20","Perwira Parcel Runner","Berlari di sekeliling Perwira","Kolej Kediaman Perwira",12.10,"aihanif",true
"Cooking by hann at KKP on 2025-01-05 17:16:57","Cooking","Memasak","KKP",13.10,"hann",true
"123 Aiman by hann at KKPerwira on 2025-01-06 01:38:54","123 Aiman","123 Aiman","KKPerwira",1.10,"hann",true
